"","ENTIDAD","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","VPH_RADIO","VPH_TV","VPH_PC","VPH_TELEF","VPH_CEL","VPH_INTER","TOTHOG","VPH_SINTIC","VPH_SINCINT","VIVTOT","Porcentaje_Internet","Porcentaje_Celular","Porcentaje_TV","Porcentaje_PC","Porcentaje_SinInternet_PC","Porcentaje_SinTic","Categorias"
"180",30,"Veracruz de Ignacio de la Llave",180,"Tlachichilco",0,"Total del Municipio","1671","1891","170","237","1124","595","3040","554","2382",3559,16.7181792638382,31.5819050295027,53.1329025007024,4.7766226468109,66.9289126159033,15.5661702725485,"bajo"
"181",30,"Veracruz de Ignacio de la Llave",181,"Tlalixcoyan",0,"Total del Municipio","8065","10778","1624","931","10179","3665","12538","560","8468",15889,23.0662722638303,64.0631883693121,67.8330920762792,10.2209075461011,53.2947322046699,3.52445087796589,"medio"
"182",30,"Veracruz de Ignacio de la Llave",182,"Tlalnelhuayocan",0,"Total del Municipio","3577","4438","1317","1070","4251","2140","4996","129","2605",5782,37.0114147353857,73.521272915946,76.7554479418886,22.7775856105154,45.0536146662055,2.23106191629194,"alto"
"183",30,"Veracruz de Ignacio de la Llave",183,"Tlapacoyan",0,"Total del Municipio","10350","15722","2959","3986","15069","6099","17505","467","10700",21688,28.1215418664699,69.4808188860199,72.4917004795279,13.6434894872741,49.336038362228,2.15326447805238,"alto"
"184",30,"Veracruz de Ignacio de la Llave",184,"Tlaquilpa",0,"Total del Municipio","921","1096","49","29","1356","104","1897","289","1766",2251,4.62016881386051,60.2398933807197,48.6894713460684,2.17681030653043,78.4540204353621,12.8387383385162,"Muy bajo"
"185",30,"Veracruz de Ignacio de la Llave",185,"Tlilapan",0,"Total del Municipio","785","1087","238","188","963","342","1360","156","962",1651,20.7147183525136,58.328285887341,65.8388855239249,14.4155057540884,58.2677165354331,9.44881889763779,"medio"
"186",30,"Veracruz de Ignacio de la Llave",186,"Tomatlán",0,"Total del Municipio","1415","1816","374","375","1678","828","2091","69","1184",2471,33.5087009307972,67.9077296641036,73.4925131525698,15.1355726426548,47.9158235532173,2.7923917442331,"alto"
"187",30,"Veracruz de Ignacio de la Llave",187,"Tonayán",0,"Total del Municipio","951","1102","58","76","775","187","1393","100","1161",1738,10.7594936708861,44.5914844649022,63.4062140391254,3.33716915995397,66.800920598389,5.75373993095512,"Muy bajo"
"188",30,"Veracruz de Ignacio de la Llave",188,"Totutla",0,"Total del Municipio","3366","4096","582","619","3234","1193","4599","181","3245",5416,22.0273264401773,59.711964549483,75.6277695716396,10.7459379615953,59.9150664697193,3.34194977843427,"medio"
"189",30,"Veracruz de Ignacio de la Llave",189,"Tuxpan",0,"Total del Municipio","33480","42612","15432","14632","41125","23284","46511","858","20844",59430,39.1788658926468,69.1990577149588,71.7011610297829,25.9666834931853,35.0731953558809,1.4437152953054,"alto"
"190",30,"Veracruz de Ignacio de la Llave",190,"Tuxtilla",0,"Total del Municipio","521","716","113","168","594","176","824","38","600",1036,16.988416988417,57.3359073359073,69.1119691119691,10.9073359073359,57.9150579150579,3.66795366795367,"bajo"
"191",30,"Veracruz de Ignacio de la Llave",191,"Ursulo Galván",0,"Total del Municipio","7225","9275","2880","3100","8608","5296","9916","143","4153",13126,40.3474021026969,65.5797653512113,70.6612829498705,21.9411854334908,31.6394941337803,1.08944080451013,"alto"
"192",30,"Veracruz de Ignacio de la Llave",192,"Vega de Alatorre",0,"Total del Municipio","3171","5546","1202","1381","5499","2026","6549","277","4231",8479,23.8943271612218,64.8543460313716,65.4086566812124,14.1762000235877,49.8997523292841,3.26689468097653,"medio"
"193",30,"Veracruz de Ignacio de la Llave",193,"Veracruz",0,"Total del Municipio","141565","188075","82520","74759","188746","127192","202082","1914","66260",280373,45.3652812503344,67.3196063814989,67.0802823381709,29.4322206489213,23.6328034439835,0.682662025230675,"alto"
"194",30,"Veracruz de Ignacio de la Llave",194,"Villa Aldama",0,"Total del Municipio","1951","2682","328","375","2202","747","2937","62","2097",3710,20.1347708894879,59.3530997304582,72.2911051212938,8.84097035040431,56.5229110512129,1.6711590296496,"medio"
"195",30,"Veracruz de Ignacio de la Llave",195,"Xoxocotla",0,"Total del Municipio","332","854","12","15","787","31","1500","381","1462",1716,1.80652680652681,45.8624708624709,49.7668997668998,0.699300699300699,85.1981351981352,22.2027972027972,"Muy bajo"
"196",30,"Veracruz de Ignacio de la Llave",196,"Yanga",0,"Total del Municipio","3389","4900","1178","1670","4487","2557","5533","188","2744",7240,35.3176795580111,61.975138121547,67.6795580110497,16.2707182320442,37.9005524861878,2.59668508287293,"alto"
"197",30,"Veracruz de Ignacio de la Llave",197,"Yecuatla",0,"Total del Municipio","1888","2562","382","564","2475","661","3310","198","2472",4249,15.5566015533067,58.2489997646505,60.2965403624382,8.99035067074606,58.1783949164509,4.65991998117204,"bajo"
"198",30,"Veracruz de Ignacio de la Llave",198,"Zacualpan",0,"Total del Municipio","1255","1282","128","64","1240","124","1997","258","1803",2771,4.47491880187658,44.7491880187658,46.2648863226272,4.61927102129195,65.0667629014796,9.31071815229159,"Muy bajo"
